Age,Income,Gender,Race,Customer_Satisfaction,Loan_Approval,Marital_Status,Education_Level,Job_Title,Residence_Type,Number_of_Children,Health_Rating,Travel_Frequency,Vehicle_Ownership,Internet_Usage_Hours,Phone_Usage_Hours,Shopping_Frequency,Dietary_Preferences,Political_Orientation,Credit_Score
59,43289,Female,Hispanic,4,1,Single,PhD,Doctor,Urban,2,8,Always,1,3,3,Rarely,Vegan,Center,440
45,29823,Female,Asian,2,1,Widowed,PhD,Engineer,Suburban,1,3,Always,1,8,0,Rarely,Vegetarian,Center,564
33,80160,Non-binary,White,5,1,Widowed,PhD,Engineer,Urban,0,7,Rarely,0,1,3,Daily,Non-Vegetarian,Right,438
32,61975,Female,White,4,1,Single,Master,Clerk,Rural,3,3,Often,0,5,3,Never,Vegan,Center,758
64,29540,Female,Asian,1,1,Divorced,Bachelor,Clerk,Rural,2,7,Often,0,6,4,Weekly,Vegan,Right,369
68,36364,Female,Asian,2,0,Single,Bachelor,Manager,Urban,2,6,Never,0,3,3,Weekly,Vegan,Center,684
61,24611,Male,Asian,5,1,Widowed,High School,Engineer,Rural,3,2,Never,1,5,1,Never,Vegan,Left,497
69,47663,Male,White,2,1,Divorced,PhD,Clerk,Rural,3,3,Never,1,6,3,Monthly,Vegetarian,Center,504
20,71991,Female,White,1,1,Married,Master,Doctor,Urban,3,6,Never,0,3,4,Monthly,Non-Vegetarian,Left,730
54,77679,Female,Asian,5,0,Divorced,High School,Clerk,Rural,1,4,Often,1,7,4,Rarely,Vegan,Left,624
68,50977,Female,Other,2,1,Widowed,High School,Clerk,Suburban,4,6,Always,0,8,4,Daily,Vegan,Left,741
24,69115,Male,Other,3,0,Divorced,Bachelor,Engineer,Suburban,2,1,Always,1,0,0,Rarely,Non-Vegetarian,Left,587
38,80890,Female,Black,1,0,Single,Master,Engineer,Urban,4,1,Rarely,0,6,1,Monthly,Vegetarian,Left,525
26,86387,Male,Hispanic,1,0,Married,Master,Artist,Rural,4,3,Always,0,8,0,Never,Vegan,Right,363
56,38071,Female,Other,1,1,Married,Master,Doctor,Suburban,3,8,Often,1,9,2,Rarely,Vegetarian,Right,797
35,79275,Female,White,3,1,Married,Bachelor,Engineer,Suburban,1,8,Often,1,4,1,Weekly,Vegetarian,Right,359
21,92369,Female,Other,3,1,Widowed,Bachelor,Manager,Rural,0,4,Often,1,1,3,Weekly,Vegetarian,Left,696
42,31938,Female,Black,4,0,Widowed,Bachelor,Doctor,Rural,1,6,Rarely,0,9,4,Never,Vegetarian,Center,556
31,55195,Female,Black,2,1,Married,Bachelor,Doctor,Suburban,4,8,Never,0,5,2,Monthly,Vegan,Right,538
67,24000,Male,Hispanic,4,1,Divorced,Bachelor,Engineer,Suburban,1,7,Always,0,6,1,Weekly,Vegan,Center,337
26,90588,Female,Other,2,1,Married,PhD,Doctor,Urban,3,7,Often,0,1,0,Weekly,Vegetarian,Center,324
43,58304,Male,White,3,0,Divorced,PhD,Engineer,Urban,0,4,Often,1,1,4,Daily,Vegetarian,Left,709
19,89449,Female,White,3,1,Divorced,Master,Clerk,Suburban,3,9,Never,0,9,0,Rarely,Non-Vegetarian,Left,760
37,40764,Female,Asian,4,1,Widowed,High School,Artist,Urban,0,6,Often,0,9,1,Monthly,Non-Vegetarian,Left,716
45,58494,Female,White,5,1,Divorced,Master,Clerk,Suburban,4,3,Always,1,0,1,Rarely,Non-Vegetarian,Right,656
64,23373,Female,Hispanic,4,0,Married,High School,Engineer,Suburban,0,5,Rarely,0,3,2,Monthly,Vegan,Left,682
24,32161,Female,Hispanic,2,0,Widowed,Bachelor,Engineer,Urban,0,5,Often,1,6,3,Weekly,Non-Vegetarian,Right,457
61,47350,Non-binary,White,4,1,Single,High School,Clerk,Urban,0,5,Always,1,8,0,Daily,Vegan,Right,732
25,45351,Male,White,1,1,Single,Master,Manager,Rural,1,8,Often,0,2,2,Rarely,Vegan,Right,347
64,35305,Male,Asian,2,1,Widowed,Master,Manager,Rural,1,9,Never,1,6,4,Weekly,Vegan,Right,627
52,95353,Male,White,2,1,Married,High School,Manager,Rural,4,9,Often,1,6,3,Monthly,Vegan,Left,732
31,96797,Male,Asian,5,0,Single,PhD,Engineer,Suburban,0,6,Often,0,6,2,Rarely,Non-Vegetarian,Right,730
34,85953,Female,Asian,3,1,Single,Bachelor,Doctor,Urban,2,6,Rarely,0,1,0,Rarely,Vegetarian,Left,355
53,77458,Non-binary,White,2,1,Divorced,Bachelor,Engineer,Suburban,4,9,Never,0,5,1,Weekly,Vegetarian,Left,567
67,40358,Male,Black,3,1,Divorced,Master,Doctor,Urban,0,4,Never,1,1,4,Rarely,Vegetarian,Right,368
57,23267,Male,Black,4,1,Married,PhD,Clerk,Suburban,0,6,Rarely,1,5,0,Daily,Non-Vegetarian,Left,748
21,58513,Male,Asian,1,1,Widowed,High School,Artist,Rural,1,4,Often,1,9,3,Daily,Vegetarian,Center,556
19,46092,Female,White,5,0,Married,Bachelor,Doctor,Rural,4,1,Always,1,2,3,Weekly,Non-Vegetarian,Left,789
23,31338,Female,Black,3,1,Widowed,PhD,Manager,Rural,0,7,Never,1,1,1,Monthly,Non-Vegetarian,Left,348
59,20412,Male,White,2,0,Single,Bachelor,Engineer,Suburban,0,6,Never,1,5,1,Weekly,Non-Vegetarian,Right,615
21,27543,Non-binary,White,3,1,Divorced,PhD,Clerk,Urban,4,9,Often,0,1,4,Daily,Vegetarian,Right,712
46,53496,Female,White,2,1,Married,PhD,Manager,Urban,2,7,Often,1,4,4,Never,Vegetarian,Left,733
35,80692,Male,Other,3,1,Married,Master,Clerk,Rural,4,7,Never,0,1,1,Never,Vegetarian,Right,301
43,64425,Female,White,2,1,Widowed,Bachelor,Artist,Rural,4,2,Often,1,2,1,Rarely,Vegan,Center,444
61,58756,Female,Other,4,1,Widowed,High School,Engineer,Rural,2,9,Always,0,2,3,Rarely,Non-Vegetarian,Center,665
51,38888,Male,Asian,2,1,Married,Master,Engineer,Rural,4,9,Never,0,5,1,Never,Vegan,Right,719
27,55735,Male,Black,2,1,Widowed,Master,Artist,Urban,0,6,Always,0,5,2,Daily,Non-Vegetarian,Left,743
53,67295,Male,Black,1,0,Married,High School,Engineer,Suburban,4,3,Always,0,9,0,Rarely,Vegetarian,Center,733
31,37955,Male,Black,2,1,Married,Master,Doctor,Suburban,2,1,Often,1,2,1,Weekly,Non-Vegetarian,Center,356
48,57841,Female,Black,1,1,Married,PhD,Clerk,Suburban,3,4,Always,0,2,4,Weekly,Non-Vegetarian,Left,477
65,90640,Non-binary,Black,5,1,Single,PhD,Manager,Suburban,4,3,Often,1,0,2,Daily,Vegan,Right,592
32,85510,Male,Black,1,1,Widowed,Bachelor,Artist,Rural,1,1,Rarely,0,6,4,Rarely,Non-Vegetarian,Center,345
25,54911,Male,Black,4,1,Divorced,Bachelor,Doctor,Rural,0,3,Often,1,7,2,Weekly,Vegetarian,Left,469
31,79031,Male,Asian,1,0,Divorced,High School,Manager,Rural,0,4,Always,0,1,1,Rarely,Non-Vegetarian,Left,570
40,27357,Male,White,5,1,Widowed,Bachelor,Manager,Suburban,1,8,Rarely,0,3,0,Rarely,Non-Vegetarian,Center,716
57,52479,Female,Hispanic,4,0,Married,PhD,Artist,Rural,1,9,Often,1,9,4,Weekly,Non-Vegetarian,Right,438
38,81476,Male,Other,3,0,Divorced,High School,Doctor,Rural,4,3,Always,0,6,2,Never,Vegan,Center,546
33,64811,Male,Hispanic,3,0,Divorced,High School,Manager,Urban,1,6,Never,0,7,3,Weekly,Non-Vegetarian,Left,447
62,56208,Male,Hispanic,1,1,Widowed,Bachelor,Manager,Urban,3,5,Never,0,0,1,Daily,Non-Vegetarian,Center,529
35,40150,Female,White,1,1,Divorced,PhD,Doctor,Rural,2,6,Often,0,3,0,Monthly,Vegan,Right,673
64,91180,Male,White,5,0,Married,High School,Engineer,Urban,1,4,Often,1,5,1,Weekly,Vegan,Left,379
41,63286,Female,White,5,1,Widowed,PhD,Manager,Urban,1,6,Never,0,2,3,Rarely,Vegan,Right,364
43,88450,Male,Black,2,1,Married,PhD,Clerk,Rural,3,7,Always,1,4,0,Rarely,Vegan,Center,387
42,41352,Female,Asian,5,0,Divorced,PhD,Doctor,Rural,0,9,Always,1,9,3,Weekly,Vegetarian,Center,387
62,75069,Female,Black,2,1,Divorced,Bachelor,Manager,Rural,0,7,Always,0,8,1,Monthly,Vegetarian,Right,503
58,34397,Male,Asian,4,1,Married,Master,Artist,Rural,4,6,Often,1,2,2,Weekly,Non-Vegetarian,Center,681
46,61555,Male,Asian,1,1,Single,Master,Clerk,Suburban,3,1,Rarely,1,4,1,Monthly,Vegetarian,Right,775
32,66959,Female,Hispanic,4,1,Divorced,High School,Manager,Suburban,2,2,Rarely,1,7,1,Monthly,Non-Vegetarian,Center,838
62,20728,Non-binary,Hispanic,5,1,Single,PhD,Clerk,Rural,2,1,Rarely,1,5,1,Daily,Vegetarian,Right,513
18,70517,Female,Asian,4,1,Divorced,Bachelor,Clerk,Urban,3,9,Rarely,1,3,4,Rarely,Vegan,Right,373
42,86234,Female,Asian,4,1,Single,PhD,Engineer,Rural,2,9,Rarely,1,7,3,Rarely,Vegan,Left,360
24,59954,Non-binary,Black,4,1,Single,PhD,Clerk,Rural,0,7,Often,0,2,3,Monthly,Vegetarian,Left,842
26,67280,Female,Black,5,0,Single,Bachelor,Engineer,Urban,2,2,Often,0,2,3,Rarely,Vegetarian,Right,518
41,99459,Male,Hispanic,4,1,Married,Master,Doctor,Suburban,2,6,Rarely,0,3,4,Never,Non-Vegetarian,Center,311
18,36779,Non-binary,White,2,1,Single,PhD,Engineer,Rural,3,4,Often,0,8,2,Monthly,Non-Vegetarian,Center,714
61,83932,Male,Asian,5,0,Single,PhD,Artist,Rural,3,1,Often,0,4,1,Rarely,Non-Vegetarian,Center,331
25,92936,Female,Black,4,0,Single,Master,Manager,Suburban,2,1,Rarely,0,7,2,Never,Vegan,Right,459
41,44466,Male,Hispanic,5,1,Divorced,Bachelor,Doctor,Suburban,1,5,Always,0,5,4,Daily,Vegan,Right,536
28,56939,Male,Black,3,1,Single,High School,Doctor,Urban,3,2,Often,1,2,3,Rarely,Vegan,Right,480
68,89896,Male,Asian,2,1,Divorced,Master,Artist,Suburban,4,4,Always,1,7,1,Never,Vegan,Right,640
34,55270,Female,Asian,4,1,Single,High School,Engineer,Suburban,4,1,Often,1,8,0,Weekly,Non-Vegetarian,Left,757
25,79163,Male,Other,3,0,Single,High School,Manager,Suburban,0,4,Often,0,7,0,Weekly,Vegan,Right,379
52,71934,Male,White,3,1,Married,Master,Engineer,Urban,2,6,Rarely,1,3,2,Never,Vegan,Center,772
52,84895,Male,Other,5,0,Divorced,PhD,Clerk,Suburban,1,4,Often,1,5,3,Monthly,Vegan,Left,411
50,52307,Female,Hispanic,3,1,Single,High School,Engineer,Suburban,0,1,Never,0,0,0,Monthly,Vegan,Center,591
22,74098,Non-binary,Black,2,1,Divorced,High School,Doctor,Urban,2,7,Never,0,3,2,Rarely,Vegetarian,Right,682
59,80921,Female,Hispanic,2,1,Divorced,Bachelor,Manager,Suburban,3,2,Rarely,1,7,4,Weekly,Non-Vegetarian,Left,316
56,25486,Female,Asian,1,1,Widowed,PhD,Engineer,Suburban,4,9,Always,1,0,2,Monthly,Non-Vegetarian,Right,792
58,28335,Female,Other,2,1,Married,High School,Manager,Urban,1,3,Always,0,2,2,Monthly,Vegan,Left,630
45,31130,Female,Other,3,1,Married,Bachelor,Manager,Rural,4,8,Always,0,0,2,Weekly,Vegetarian,Center,785
24,80566,Male,Other,2,1,Married,PhD,Clerk,Urban,3,8,Never,0,8,1,Daily,Non-Vegetarian,Right,705
26,86703,Male,Hispanic,5,1,Widowed,Master,Clerk,Suburban,2,3,Always,1,1,2,Monthly,Non-Vegetarian,Right,416
25,47192,Male,Asian,1,1,Widowed,Master,Doctor,Suburban,3,4,Always,1,8,2,Never,Vegan,Left,414
29,21062,Male,Black,3,1,Married,Bachelor,Artist,Suburban,3,2,Rarely,0,3,1,Rarely,Vegan,Left,848
51,41545,Male,Black,1,1,Widowed,Master,Manager,Urban,4,4,Always,0,1,1,Monthly,Non-Vegetarian,Right,846
50,41689,Female,Hispanic,3,1,Widowed,High School,Artist,Suburban,1,9,Never,1,3,4,Monthly,Non-Vegetarian,Left,635
65,31174,Male,Other,5,0,Widowed,PhD,Doctor,Suburban,3,2,Never,1,9,3,Daily,Vegetarian,Right,635
40,29348,Female,White,1,1,Married,High School,Manager,Urban,4,3,Never,0,5,0,Never,Non-Vegetarian,Left,446
41,43714,Female,Hispanic,4,1,Married,High School,Manager,Rural,1,4,Rarely,1,6,0,Rarely,Non-Vegetarian,Center,421
54,58102,Male,Hispanic,3,0,Married,Master,Artist,Rural,2,5,Rarely,0,2,2,Monthly,Vegan,Left,380
52,94460,Female,Asian,4,0,Widowed,High School,Engineer,Suburban,2,1,Often,0,2,4,Rarely,Non-Vegetarian,Center,674
61,26801,Female,Black,1,0,Married,Master,Clerk,Urban,0,7,Always,1,9,2,Weekly,Vegan,Left,362
57,92267,Male,Hispanic,4,1,Widowed,PhD,Engineer,Suburban,4,7,Rarely,0,7,0,Monthly,Non-Vegetarian,Left,803
39,68136,Female,Hispanic,4,1,Single,PhD,Artist,Urban,1,9,Never,1,4,1,Monthly,Non-Vegetarian,Right,748
44,43625,Female,Other,1,1,Widowed,High School,Clerk,Urban,3,4,Never,1,3,3,Weekly,Non-Vegetarian,Left,727
52,92592,Female,Other,5,1,Divorced,Bachelor,Engineer,Rural,2,6,Rarely,1,6,4,Daily,Vegetarian,Left,726
18,97052,Female,White,4,1,Married,Master,Clerk,Rural,1,2,Rarely,0,6,1,Monthly,Vegan,Center,720
52,64261,Female,Asian,4,1,Married,Master,Manager,Urban,4,4,Rarely,0,8,3,Rarely,Vegetarian,Left,621
54,21542,Female,White,5,1,Divorced,High School,Engineer,Suburban,0,2,Often,0,8,4,Never,Non-Vegetarian,Right,465
64,41677,Male,Other,4,1,Widowed,Master,Clerk,Rural,2,5,Never,1,4,4,Rarely,Vegetarian,Center,760
31,66732,Male,Black,4,1,Single,Master,Clerk,Suburban,1,7,Often,1,7,0,Daily,Vegan,Right,758
20,70343,Male,Other,4,1,Divorced,Bachelor,Clerk,Rural,1,1,Often,1,9,1,Never,Non-Vegetarian,Right,488
18,59081,Female,Asian,2,0,Divorced,Bachelor,Engineer,Rural,1,7,Always,1,0,4,Rarely,Vegetarian,Right,763
22,82856,Male,Other,5,1,Widowed,High School,Doctor,Suburban,4,6,Never,1,8,4,Rarely,Vegetarian,Right,678
43,39065,Female,Asian,4,1,Married,Bachelor,Engineer,Rural,4,6,Never,1,7,3,Weekly,Vegan,Center,301
31,74693,Female,Asian,5,1,Widowed,High School,Artist,Rural,4,8,Rarely,0,5,0,Daily,Vegetarian,Left,663
56,46962,Female,Asian,3,0,Divorced,PhD,Engineer,Suburban,3,8,Rarely,0,2,2,Weekly,Vegan,Right,371
44,48295,Non-binary,Asian,3,0,Divorced,High School,Clerk,Rural,1,6,Always,1,2,0,Never,Non-Vegetarian,Center,726
26,33807,Female,Asian,4,1,Married,PhD,Manager,Rural,2,3,Often,0,7,2,Weekly,Non-Vegetarian,Right,469
32,62348,Female,Black,5,0,Married,High School,Engineer,Rural,4,5,Rarely,0,4,1,Daily,Vegetarian,Left,504
32,46432,Male,White,5,1,Married,Master,Engineer,Suburban,4,2,Rarely,1,9,1,Monthly,Non-Vegetarian,Center,636
43,77854,Female,Hispanic,5,0,Widowed,Bachelor,Clerk,Urban,1,5,Never,1,6,4,Monthly,Non-Vegetarian,Center,771
59,60262,Male,White,2,1,Married,PhD,Manager,Suburban,4,9,Never,0,4,1,Never,Vegetarian,Left,494
30,57080,Male,Asian,3,1,Divorced,High School,Manager,Urban,3,1,Rarely,1,7,4,Monthly,Non-Vegetarian,Center,574
68,21324,Female,Black,5,1,Divorced,Bachelor,Artist,Rural,3,5,Never,1,9,0,Weekly,Vegetarian,Left,306
49,55909,Female,Other,5,1,Single,High School,Engineer,Urban,4,6,Always,0,9,1,Never,Vegan,Center,477
56,39870,Male,Black,2,0,Widowed,Bachelor,Manager,Suburban,1,7,Rarely,0,3,0,Daily,Vegan,Center,541
66,54578,Female,Asian,2,0,Single,Bachelor,Manager,Suburban,1,9,Never,0,1,0,Never,Vegan,Left,502
69,92124,Female,Black,5,1,Divorced,High School,Doctor,Rural,1,6,Always,1,2,1,Never,Vegetarian,Left,842
49,46790,Female,Black,1,1,Single,PhD,Doctor,Urban,0,5,Never,1,7,0,Rarely,Vegetarian,Center,761
21,45289,Female,Asian,5,1,Divorced,PhD,Manager,Rural,4,7,Never,1,6,1,Rarely,Non-Vegetarian,Center,379
47,75129,Female,Black,5,1,Single,Master,Artist,Rural,1,1,Never,1,1,1,Never,Non-Vegetarian,Left,822
54,35485,Non-binary,Hispanic,2,1,Married,Bachelor,Manager,Suburban,3,5,Rarely,0,5,1,Monthly,Non-Vegetarian,Left,716
40,64482,Female,Hispanic,2,1,Single,Master,Clerk,Urban,2,2,Often,0,8,2,Rarely,Non-Vegetarian,Center,683
56,24748,Female,Black,5,1,Married,Master,Engineer,Urban,2,4,Never,1,3,0,Daily,Non-Vegetarian,Center,690
62,29435,Non-binary,Other,5,0,Married,High School,Artist,Urban,1,7,Always,0,8,3,Weekly,Vegetarian,Center,425
32,23709,Non-binary,Asian,5,1,Widowed,High School,Clerk,Urban,2,5,Rarely,0,1,1,Rarely,Vegetarian,Left,793
60,50355,Male,Hispanic,2,1,Married,High School,Artist,Rural,2,6,Rarely,0,1,0,Never,Vegan,Center,346
46,75771,Male,Other,5,1,Married,Bachelor,Clerk,Rural,0,2,Always,0,8,4,Monthly,Vegan,Right,775
53,77799,Male,Black,5,0,Single,High School,Engineer,Suburban,3,3,Never,0,6,1,Weekly,Vegan,Left,763
30,33116,Male,Other,4,1,Divorced,High School,Engineer,Rural,3,7,Often,0,6,1,Rarely,Vegan,Center,422
49,45470,Female,White,1,1,Widowed,Bachelor,Doctor,Rural,0,2,Never,0,0,3,Monthly,Vegetarian,Left,773
24,62344,Female,Hispanic,3,1,Married,Bachelor,Clerk,Suburban,0,6,Always,0,5,2,Monthly,Vegetarian,Right,433
68,62918,Female,Black,1,1,Widowed,PhD,Doctor,Suburban,2,5,Rarely,1,6,2,Monthly,Vegetarian,Left,322
39,72224,Male,Asian,4,1,Single,High School,Clerk,Suburban,4,1,Often,1,5,1,Never,Non-Vegetarian,Center,534
45,59298,Female,Black,3,1,Married,High School,Doctor,Rural,2,4,Rarely,0,5,0,Daily,Non-Vegetarian,Right,358
19,81629,Female,Asian,5,0,Single,High School,Engineer,Rural,0,2,Always,1,1,4,Monthly,Vegan,Right,463
59,86040,Female,Black,4,1,Widowed,PhD,Artist,Suburban,3,4,Never,0,5,4,Weekly,Non-Vegetarian,Center,515
62,48016,Non-binary,Other,5,0,Single,High School,Doctor,Suburban,2,1,Often,1,3,0,Rarely,Vegetarian,Center,482
23,43960,Female,Other,2,1,Widowed,PhD,Clerk,Suburban,4,2,Rarely,1,8,1,Weekly,Vegan,Center,389
45,53591,Male,Other,4,1,Single,Master,Clerk,Rural,2,8,Rarely,1,0,4,Never,Vegan,Left,610
45,87641,Female,White,2,0,Widowed,PhD,Engineer,Rural,1,6,Rarely,1,7,2,Never,Non-Vegetarian,Left,556
61,56395,Male,Asian,4,1,Divorced,Master,Clerk,Urban,2,2,Never,0,4,0,Weekly,Vegan,Left,832
61,42700,Male,Other,4,0,Single,High School,Manager,Rural,0,6,Often,0,0,3,Daily,Non-Vegetarian,Center,832
37,54620,Female,White,2,1,Single,Master,Artist,Rural,3,9,Never,1,3,1,Never,Non-Vegetarian,Center,351
47,40559,Male,Asian,3,1,Divorced,PhD,Doctor,Rural,3,7,Never,0,0,0,Never,Vegan,Left,637
28,81642,Female,Black,1,1,Divorced,Bachelor,Artist,Suburban,0,9,Never,0,5,4,Weekly,Non-Vegetarian,Right,470
45,96539,Male,White,5,0,Single,Master,Engineer,Rural,1,5,Always,1,1,1,Never,Non-Vegetarian,Left,366
42,41732,Female,Hispanic,4,1,Divorced,Master,Doctor,Suburban,0,7,Always,1,4,2,Daily,Non-Vegetarian,Right,599
56,50354,Male,White,5,1,Married,High School,Doctor,Urban,2,7,Always,1,6,1,Daily,Non-Vegetarian,Center,531
50,33843,Non-binary,White,2,1,Widowed,PhD,Manager,Urban,0,3,Often,0,1,1,Daily,Vegan,Center,367
18,91726,Female,Asian,5,1,Widowed,Master,Engineer,Suburban,0,7,Never,1,5,2,Rarely,Vegetarian,Left,805
44,37640,Male,Black,2,0,Widowed,Master,Clerk,Suburban,1,1,Never,0,5,2,Daily,Vegetarian,Left,327
69,72528,Female,Hispanic,5,1,Married,Master,Manager,Suburban,2,9,Always,0,4,1,Daily,Non-Vegetarian,Center,350
30,58413,Non-binary,Other,1,0,Divorced,Master,Manager,Rural,4,6,Never,1,4,2,Rarely,Non-Vegetarian,Left,559
58,72638,Female,Other,1,1,Divorced,Bachelor,Artist,Urban,4,5,Never,0,2,0,Monthly,Non-Vegetarian,Center,483
20,72736,Male,White,1,1,Single,PhD,Artist,Suburban,3,7,Rarely,0,9,2,Never,Vegetarian,Center,322
56,88866,Female,Asian,1,0,Divorced,High School,Artist,Rural,0,5,Never,1,9,2,Daily,Non-Vegetarian,Right,428
23,39087,Female,Asian,1,0,Single,High School,Manager,Urban,3,5,Rarely,0,1,1,Never,Vegan,Left,590
25,61430,Female,Other,1,0,Married,Bachelor,Clerk,Rural,1,7,Never,0,6,0,Weekly,Vegan,Center,800
44,44504,Female,Hispanic,2,1,Widowed,PhD,Doctor,Urban,4,7,Often,0,0,3,Never,Vegan,Left,485
26,27114,Male,Black,4,1,Widowed,Master,Artist,Rural,0,3,Always,0,5,3,Rarely,Vegetarian,Right,778
54,98859,Male,Hispanic,5,1,Widowed,Bachelor,Clerk,Urban,1,3,Rarely,0,5,4,Never,Non-Vegetarian,Right,791
50,30975,Female,Black,1,0,Divorced,PhD,Engineer,Urban,1,3,Always,1,2,2,Never,Non-Vegetarian,Left,812
68,31023,Male,Other,2,0,Single,Master,Artist,Rural,0,6,Rarely,1,1,2,Never,Non-Vegetarian,Left,366
59,41447,Male,Black,2,1,Single,Bachelor,Doctor,Suburban,1,6,Rarely,0,1,0,Monthly,Vegetarian,Center,766
61,43959,Non-binary,Asian,2,0,Married,PhD,Engineer,Urban,0,3,Rarely,1,8,3,Monthly,Vegetarian,Right,584
41,86203,Female,White,4,1,Divorced,High School,Engineer,Suburban,0,3,Often,0,4,4,Weekly,Vegetarian,Right,716
32,49703,Female,White,5,1,Married,High School,Doctor,Rural,2,8,Never,0,6,0,Rarely,Vegetarian,Right,399
49,29337,Female,Other,4,1,Single,PhD,Artist,Suburban,3,8,Rarely,1,4,2,Never,Vegan,Left,488
49,66427,Female,Asian,3,1,Single,High School,Manager,Suburban,1,7,Often,0,6,3,Never,Vegetarian,Center,687
41,81529,Female,Hispanic,2,1,Widowed,PhD,Doctor,Suburban,1,4,Rarely,1,3,4,Never,Vegetarian,Left,540
58,51921,Female,Asian,3,0,Divorced,Master,Doctor,Suburban,2,4,Never,0,7,1,Never,Vegetarian,Left,716
69,53307,Male,White,1,0,Single,PhD,Doctor,Suburban,2,3,Rarely,1,9,3,Monthly,Non-Vegetarian,Left,475
